turn,question_set,answer_type,mean,ci_low,ci_high,n_questions
0,Context-relevant,factual,-0.47899049083941986,-1.9371775438408252,0.9483961037837517,6
0,Context-relevant,nonfactual,0.38041654970909883,-3.076589656751935,5.4230012686793785,6
0,Generic,factual,6.359790322656549,3.567557038489533,9.189438132418418,16
0,Generic,nonfactual,-6.127876738097459,-7.436329266932923,-4.732368144895933,16
1,Context-relevant,factual,-0.7503541736018331,-1.5264234614206904,0.12694159819158843,6
1,Context-relevant,nonfactual,2.0468046566848597,-0.8371315451720189,5.422525069440266,6
1,Generic,factual,4.754664876935636,3.0922191491648774,6.534836560584492,16
1,Generic,nonfactual,-1.855188272003197,-2.7692224612002843,-0.9537675387306518,16
2,Context-relevant,factual,0.5933247723637932,-1.1376004582748935,2.4293764363716344,6
2,Context-relevant,nonfactual,4.212702702933322,1.2804060240545039,6.748970054964629,6
2,Generic,factual,4.59709405849396,2.7358894610923836,6.4348963476789285,16
2,Generic,nonfactual,0.8745784969747834,-0.5744566419127218,2.3388344141998445,16
3,Context-relevant,factual,3.5386966501854586,2.899330674672706,4.180654753718609,6
3,Context-relevant,nonfactual,4.507454426345984,3.1200734736646147,5.956006529908784,6
3,Generic,factual,5.887645385892298,5.050099746311109,6.786876881984611,16
3,Generic,nonfactual,2.803521779300481,2.110564015272084,3.452947338973855,16
4,Context-relevant,factual,3.664756410927824,2.9611402032045877,4.384189532087328,6
4,Context-relevant,nonfactual,4.17143814256447,2.6843176550131336,5.981212262253648,6
4,Generic,factual,5.093434648863212,4.210248319754065,6.190546897907265,16
4,Generic,nonfactual,2.765617448344094,2.367670679297553,3.118531328764139,16
