"pair_id","topic","total_rows","normal_rows","roleplay_rows","factual_rows","nonfactual_rows","forced_yes","forced_no","factual_answer_yes","factual_answer_no","template_ids","question_forms","status"
"T01","Astronomy","48","24","24","24","24","24","24","24","24","12","2","draft_unvalidated"
"T02","Geography_Australia","48","24","24","24","24","24","24","24","24","12","2","draft_unvalidated"
"T03","Chemistry","48","24","24","24","24","24","24","24","24","12","2","draft_unvalidated"
"T04","Zoology_Whales","48","24","24","24","24","24","24","24","24","12","2","draft_unvalidated"
"T05","Mathematics","48","24","24","24","24","24","24","24","24","12","2","draft_unvalidated"
"T06","Anatomy","48","24","24","24","24","24","24","24","24","12","2","draft_unvalidated"
"T07","Zoology_Penguins","48","24","24","24","24","24","24","24","24","12","2","draft_unvalidated"
"T08","Literature","48","24","24","24","24","24","24","24","24","12","2","draft_unvalidated"
"T09","Botany","48","24","24","24","24","24","24","24","24","12","2","draft_unvalidated"
"T10","Geography_Oceans","48","24","24","24","24","24","24","24","24","12","2","draft_unvalidated"
