target,subset,control_model,balanced_accuracy,target_margin_coefficient,nuisance_margin_coefficient
factuality,heldout_topics,target_margin_only,0.5125,5.066882366504298,
factuality,heldout_topics,nuisance_margin_only,0.5,,0.008050259578974933
factuality,heldout_topics,both_margins,0.5125,5.064970636759502,-0.007568591788932381
factuality,heldout_wording,target_margin_only,0.6875,5.066882366504298,
factuality,heldout_wording,nuisance_margin_only,0.5,,0.008050259578974933
factuality,heldout_wording,both_margins,0.6875,5.064970636759502,-0.007568591788932381
factuality,joint_generalization,target_margin_only,0.5,5.066882366504298,
factuality,joint_generalization,nuisance_margin_only,0.5,,0.008050259578974933
factuality,joint_generalization,both_margins,0.5,5.064970636759502,-0.007568591788932381
factuality,validation_heldout_wording_descriptive,target_margin_only,0.5625,5.066882366504298,
factuality,validation_heldout_wording_descriptive,nuisance_margin_only,0.5,,0.008050259578974933
factuality,validation_heldout_wording_descriptive,both_margins,0.5625,5.064970636759502,-0.007568591788932381
roleplay,heldout_topics,target_margin_only,1.0,4.141826494724361,
roleplay,heldout_topics,nuisance_margin_only,0.5,,-0.02501079425453961
roleplay,heldout_topics,both_margins,1.0,4.141826598348176,-7.200442020913737e-05
roleplay,heldout_wording,target_margin_only,0.5833333333333334,4.141826494724361,
roleplay,heldout_wording,nuisance_margin_only,0.39583333333333337,,-0.02501079425453961
roleplay,heldout_wording,both_margins,0.5833333333333334,4.141826598348176,-7.200442020913737e-05
roleplay,joint_generalization,target_margin_only,0.5,4.141826494724361,
roleplay,joint_generalization,nuisance_margin_only,0.375,,-0.02501079425453961
roleplay,joint_generalization,both_margins,0.5,4.141826598348176,-7.200442020913737e-05
roleplay,validation_heldout_wording_descriptive,target_margin_only,0.5625,4.141826494724361,
roleplay,validation_heldout_wording_descriptive,nuisance_margin_only,0.4375,,-0.02501079425453961
roleplay,validation_heldout_wording_descriptive,both_margins,0.5625,4.141826598348176,-7.200442020913737e-05
