layer,factuality_train_accuracy,factuality_train_balanced_accuracy,factuality_validation_accuracy,factuality_validation_balanced_accuracy,factuality_iterations,roleplay_train_accuracy,roleplay_train_balanced_accuracy,roleplay_validation_accuracy,roleplay_validation_balanced_accuracy,roleplay_iterations,mean_validation_balanced_accuracy
0,0.9791666666666666,0.9791666666666667,0.425,0.425,223,1.0,1.0,1.0,1.0,34,0.7125
1,1.0,1.0,0.5,0.5,160,1.0,1.0,0.9875,0.9875,21,0.74375
2,1.0,1.0,0.325,0.325,177,1.0,1.0,1.0,1.0,41,0.6625
3,1.0,1.0,0.2625,0.2625,146,1.0,1.0,1.0,1.0,24,0.63125
4,1.0,1.0,0.325,0.325,120,1.0,1.0,1.0,1.0,18,0.6625
5,1.0,1.0,0.45,0.45,133,1.0,1.0,1.0,1.0,17,0.725
6,1.0,1.0,0.525,0.525,142,1.0,1.0,1.0,1.0,19,0.7625
7,1.0,1.0,0.5,0.5,121,1.0,1.0,1.0,1.0,14,0.75
8,1.0,1.0,0.6,0.6,133,1.0,1.0,1.0,1.0,15,0.8
9,1.0,1.0,0.4625,0.4625,90,1.0,1.0,1.0,1.0,14,0.73125
10,1.0,1.0,0.475,0.47500000000000003,109,1.0,1.0,1.0,1.0,14,0.7375
11,1.0,1.0,0.5125,0.5125,103,1.0,1.0,1.0,1.0,15,0.75625
12,1.0,1.0,0.6375,0.6375,94,1.0,1.0,1.0,1.0,15,0.81875
13,1.0,1.0,0.6875,0.6875,67,1.0,1.0,1.0,1.0,15,0.84375
14,1.0,1.0,0.7125,0.7125,64,1.0,1.0,1.0,1.0,16,0.85625
15,1.0,1.0,0.75,0.75,71,1.0,1.0,1.0,1.0,15,0.875
16,1.0,1.0,0.725,0.7250000000000001,80,1.0,1.0,1.0,1.0,15,0.8625
17,1.0,1.0,0.725,0.725,85,1.0,1.0,1.0,1.0,12,0.8625
18,1.0,1.0,0.7125,0.7125,89,1.0,1.0,1.0,1.0,12,0.85625
19,1.0,1.0,0.725,0.725,81,1.0,1.0,1.0,1.0,12,0.8625
20,1.0,1.0,0.8,0.8,77,1.0,1.0,1.0,1.0,12,0.9
21,1.0,1.0,0.7875,0.7875,84,1.0,1.0,1.0,1.0,11,0.89375
22,1.0,1.0,0.825,0.825,87,1.0,1.0,1.0,1.0,17,0.9125
23,1.0,1.0,0.8125,0.8125,83,1.0,1.0,1.0,1.0,16,0.90625
24,1.0,1.0,0.75,0.75,76,1.0,1.0,1.0,1.0,16,0.875
25,1.0,1.0,0.7125,0.7125,80,1.0,1.0,1.0,1.0,16,0.85625
