turn,question_set,answer_type,mean,ci_low,ci_high,n_questions,model
0,Generic control,margin,15.67215662341096,4.967306344231773,23.275211568988155,4,Gemma 3 1B
0,Original claim,margin,14.03168581044435,7.97975344558868,20.24075333520287,4,Gemma 3 1B
5,Generic control,margin,4.754940341416649,-1.3063367449159544,10.080759802736258,4,Gemma 3 1B
5,Original claim,margin,1.5051073407386077,-1.4180481870927895,3.98024040754933,4,Gemma 3 1B
10,Generic control,margin,4.953053747439679,0.22593874158792815,10.611298898057793,4,Gemma 3 1B
10,Original claim,margin,-0.48420672955423993,-4.964768444523935,3.0383317798371854,4,Gemma 3 1B
15,Generic control,margin,11.090710911703464,0.10375790259360329,25.437569694670096,4,Gemma 3 1B
15,Original claim,margin,2.8700035039576783,-0.2241206247048102,5.964127632620167,4,Gemma 3 1B
20,Generic control,margin,10.72960707150429,-0.3005294601366857,23.36668944613182,4,Gemma 3 1B
20,Original claim,margin,1.7982983379301285,-1.172435609654083,5.074896072690952,4,Gemma 3 1B
25,Generic control,margin,11.855950397685596,0.0701183192425523,23.641782476128647,4,Gemma 3 1B
25,Original claim,margin,2.6879644501896336,1.0754203216404177,4.3005085787388495,4,Gemma 3 1B
30,Generic control,margin,8.04470024299483,-2.12346935451547,22.095309012186352,4,Gemma 3 1B
30,Original claim,margin,1.9019921666362718,-0.8934725693669134,4.697456902639457,4,Gemma 3 1B
